horse_id,地区目录,当前显示名,中文名,英文名,原名,基础能力,巅峰能力,入库比赛数,来源文件,中文来源,英文来源,核对备注
copano-rickey,Japan,Omega Perfume,欧米茄芳香,Omega Perfume,オメガパフューム,80,82,6,js/data/historical-horses/Japan/omega-perfume.js,自译待核对,现有英文显示名,
curren-chan,Japan,Order of St George,圣乔治骑士团,Order of St George,Order of St George,88,90,4,js/data/historical-horses/Europe/order-of-st-george.js,自译待核对,现有英文显示名,
daiwa-major,Japan,Orfevre,黄金巨匠,Orfevre,オルフェーヴル,86,88,9,js/data/historical-horses/Japan/orfevre.js,自译待核对,现有英文显示名,
daiwa-scarlet,Japan,Ouija Board,占卜板,Ouija Board,Ouija Board,81,84,6,js/data/historical-horses/Europe/ouija-board.js,自译待核对,现有英文显示名,
danon-the-kid,Japan,Oxted,奥克斯特德,Oxted,Oxted,81,83,2,js/data/historical-horses/Europe/oxted.js,自译待核对,现有英文显示名,
daring-tact,Japan,Paddington,帕丁顿,Paddington,Paddington,84,86,3,js/data/historical-horses/Europe/paddington.js,自译待核对,现有英文显示名,
deep-impact,Japan,Palace Pier,胜万金,Palace Pier,Palace Pier,88,90,5,js/data/historical-horses/Europe/palace-pier.js,自译待核对,现有英文显示名,
deep-sky,Japan,Peintre Celebre,名画家,Peintre Celebre,Peintre Celebre,95,97,3,js/data/historical-horses/Europe/peintre-celebre.js,自译待核对,现有英文显示名,
do-deuce,Japan,Rachel Alexandra,历山小姐,Rachel Alexandra,Rachel Alexandra,84,86,3,js/data/historical-horses/America/rachel-alexandra.js,自译待核对,现有英文显示名,
dream-journey,Japan,白手起家,白手起家,Rags to Riches,Rags to Riches,79,81,2,js/data/historical-horses/America/rags-to-riches.js,现有中文,原名英文,
dura-erede,Japan,桀骜之恋,桀骜之恋,Rebel's Romance,Rebel's Romance,80,82,7,js/data/historical-horses/America/rebels-romance.js,现有中文,原名英文,
duramente,Japan,Regaleira,蕾加莱拉,Regaleira,レガレイラ,78,80,4,js/data/historical-horses/Japan/regaleira.js,自译待核对,现有英文显示名,
durandal,Japan,Regional,地区,Regional,Regional,81,83,1,js/data/historical-horses/Europe/regional.js,自译待核对,现有英文显示名,
el-condor-pasa,Japan,Ribchester,里布切斯特,Ribchester,Ribchester,83,85,4,js/data/historical-horses/Europe/ribchester.js,自译待核对,现有英文显示名,
epiphaneia,Japan,Roaring Lion,咆哮狮,Roaring Lion,Roaring Lion,88,90,3,js/data/historical-horses/Europe/roaring-lion.js,自译待核对,现有英文显示名,
equinox,Japan,Rock of Gibraltar,直布罗陀岩,Rock of Gibraltar,Rock of Gibraltar,89,91,6,js/data/historical-horses/Europe/rock-of-gibraltar.js,自译待核对,现有英文显示名,
flower-park,Japan,Romantic Warrior,浪漫勇士,Romantic Warrior,Romantic Warrior,87,89,13,js/data/historical-horses/Others/romantic-warrior.js,自译待核对,现有英文显示名,
fuji-kiseki,Japan,圆桌骑士,圆桌骑士,Round Table,Round Table,87,89,2,js/data/historical-horses/America/round-table.js,现有中文,原名英文,
gentildonna,Japan,皇家三角洲,皇家三角洲,Royal Delta,Royal Delta,79,81,2,js/data/historical-horses/America/royal-delta.js,现有中文,原名英文,
gold-dream,Japan,暴徒,暴徒,Ruffian,Ruffian,88,90,2,js/data/historical-horses/America/ruffian.js,现有中文,原名英文,
gold-ship,Japan,Russian Rhythm,俄罗斯韵律,Russian Rhythm,Russian Rhythm,83,85,3,js/data/historical-horses/Europe/russian-rhythm.js,自译待核对,现有英文显示名,
gran-alegria,Japan,Sacred Kingdom,莲华生辉,Sacred Kingdom,Sacred Kingdom,82,84,6,js/data/historical-horses/Others/sacred-kingdom.js,自译待核对,现有英文显示名,
grass-wonder,Japan,Saint Lite,圣烈特,Saint Lite,??????,78,80,3,js/data/historical-horses/Japan/saint-lite.js,自译待核对,现有英文显示名,
haiseiko,Japan,Sakura Bakushin O,樱花进王,Sakura Bakushin O,サクラバクシンオー,82,84,3,js/data/historical-horses/Japan/sakura-bakushin-o.js,自译待核对,现有英文显示名,
hearts-cry,Japan,Saturnalia,农神节庆,Saturnalia,サートゥルナーリア,79,81,3,js/data/historical-horses/Japan/saturnalia.js,自译待核对,现有英文显示名,
hishi-amazon,Japan,Sea The Stars,海都之星,Sea The Stars,Sea The Stars,96,98,6,js/data/historical-horses/Europe/sea-the-stars.js,自译待核对,现有英文显示名,
hokko-tarumae,Japan,海饼干,海饼干,Seabiscuit,Seabiscuit,85,87,1,js/data/historical-horses/America/seabiscuit.js,现有中文,原名英文,
jack-dor,Japan,Search For A Song,寻歌,Search For A Song,Search For A Song,82,84,2,js/data/historical-horses/Europe/search-for-a-song.js,自译待核对,现有英文显示名,
just-a-way,Japan,Seattle Slew,西雅图回旋,Seattle Slew,Seattle Slew,94,96,3,js/data/historical-horses/America/seattle-slew.js,自译待核对,现有英文显示名,
kane-hekili,Japan,Secretariat,秘书处,Secretariat,Secretariat,97,99,3,js/data/historical-horses/America/secretariat.js,自译待核对,现有英文显示名,
king-halo,Japan,Shamardal,侠马道,Shamardal,Shamardal,85,87,3,js/data/historical-horses/Europe/shamardal.js,自译待核对,现有英文显示名,
king-kamehameha,Japan,Shaquille,沙奎尔,Shaquille,Shaquille,82,84,2,js/data/historical-horses/Europe/shaquille.js,自译待核对,现有英文显示名,
kinshasa-no-kiseki,Japan,Shergar,识价,Shergar,Shergar,95,96,3,js/data/historical-horses/Europe/shergar.js,自译待核对,现有英文显示名,
kitasan-black,Japan,Shinzan,神赞,Shinzan,????,81,83,8,js/data/historical-horses/Japan/shinzan.js,自译待核对,现有英文显示名,
kurofune,Japan,Silent Witness,精英大师,Silent Witness,Silent Witness,83,85,7,js/data/historical-horses/Others/silent-witness.js,自译待核对,现有英文显示名,
lei-papale,Japan,查理姐姐,查理姐姐,Sistercharlie,Sistercharlie,80,82,3,js/data/historical-horses/America/sistercharlie.js,现有中文,原名英文,
lemon-pop,Japan,Smart Falcon,醒目飞鹰,Smart Falcon,スマートファルコン,77,79,17,js/data/historical-horses/Japan/smart-falcon.js,自译待核对,现有英文显示名,
liberty-island,Japan,Snow Fairy,雪仙子,Snow Fairy,Snow Fairy,84,86,4,js/data/historical-horses/Japan/snow-fairy.js,自译待核对,现有英文显示名,
lord-kanaloa,Japan,Snowfall,吹雪,Snowfall,Snowfall,84,86,3,js/data/historical-horses/Europe/snowfall.js,自译待核对,现有英文显示名,
lucky-lilac,Japan,So You Think,信可成真,So You Think,So You Think,89,91,6,js/data/historical-horses/Europe/so-you-think.js,自译待核对,现有英文显示名,
lys-gracieux,Japan,Sodashi,苏妲己,Sodashi,???,78,80,6,js/data/historical-horses/Japan/sodashi.js,自译待核对,现有英文显示名,
maruzensky,Japan,Sole Power,独力,Sole Power,Sole Power,83,85,5,js/data/historical-horses/Europe/sole-power.js,自译待核对,现有英文显示名,
maurice,Japan,Solow,索洛,Solow,Solow,85,87,4,js/data/historical-horses/Europe/solow.js,自译待核对,现有英文显示名,
mayano-top-gun,Japan,Special Duty,特别任务,Special Duty,Special Duty,81,83,1,js/data/historical-horses/Europe/special-duty.js,自译待核对,现有英文显示名,
meisho-mambo,Japan,Special Week,特别周,Special Week,スペシャルウィーク,81,83,9,js/data/historical-horses/Japan/special-week.js,自译待核对,现有英文显示名,
mejiro-mcqueen,Japan,Spectacular Bid,精彩竞投,Spectacular Bid,Spectacular Bid,95,97,5,js/data/historical-horses/America/spectacular-bid.js,自译待核对,现有英文显示名,
mihono-bourbon,Japan,Speed Symboli,速度象征,Speed Symboli,????????,79,81,12,js/data/historical-horses/Japan/speed-symboli.js,自译待核对,现有英文显示名,
mr-cb,Japan,St Mark's Basilica,圣马可大教堂,St Mark's Basilica,St Mark's Basilica,88,90,4,js/data/historical-horses/Europe/st-marks-basilica.js,自译待核对,现有英文显示名,
narita-brian,Japan,St Nicholas Abbey,圣尼古拉斯修道院,St Nicholas Abbey,St Nicholas Abbey,85,87,6,js/data/historical-horses/Europe/st-nicholas-abbey.js,自译待核对,现有英文显示名,
oguri-cap,Japan,Stay Gold,黄金旅程,Stay Gold,???????,79,81,4,js/data/historical-horses/Japan/stay-gold.js,自译待核对,现有英文显示名,
omega-perfume,Japan,Stradivarius,弦乐器,Stradivarius,Stradivarius,86,89,3,js/data/historical-horses/Europe/stradivarius.js,自译待核对,现有英文显示名,
orfevre,Japan,Straight Girl,真诚少女,Straight Girl,ストレイトガール,79,81,3,js/data/historical-horses/Japan/straight-girl.js,自译待核对,现有英文显示名,
regaleira,Japan,Stravinsky,星运时机,Stravinsky,Stravinsky,83,85,2,js/data/historical-horses/Europe/stravinsky.js,自译待核对,现有英文显示名,
saint-lite,Japan,Suave Richard,文雅理查,Suave Richard,スワーヴリチャード,81,83,4,js/data/historical-horses/Japan/suave-richard.js,自译待核对,现有英文显示名,
sakura-bakushin-o,Japan,Symboli Kris S,吉兆,Symboli Kris S,?????????,83,85,6,js/data/historical-horses/Japan/symboli-kris-s.js,自译待核对,现有英文显示名,
saturnalia,Japan,Symboli Rudolf,鲁铎象征,Symboli Rudolf,シンボリルドルフ,79,81,10,js/data/historical-horses/Japan/symboli-rudolf.js,自译待核对,现有英文显示名,
shinzan,Japan,T.M. Opera O,好歌剧,T.M. Opera O,テイエムオペラオー,83,85,12,js/data/historical-horses/Japan/tm-opera-o.js,自译待核对,现有英文显示名,
smart-falcon,Japan,Taghrooda,塔格鲁达,Taghrooda,Taghrooda,83,85,2,js/data/historical-horses/Europe/taghrooda.js,自译待核对,现有英文显示名,
snow-fairy,Japan,Tahiyra,塔希拉,Tahiyra,Tahiyra,82,84,1,js/data/historical-horses/Europe/tahiyra.js,自译待核对,现有英文显示名,
sodashi,Japan,Taiki Shuttle,大树快车,Taiki Shuttle,タイキシャトル,84,86,8,js/data/historical-horses/Japan/taiki-shuttle.js,自译待核对,现有英文显示名,
special-week,Japan,Takeover Target,接管目标,Takeover Target,Takeover Target,81,83,1,js/data/historical-horses/Europe/takeover-target.js,自译待核对,现有英文显示名,
speed-symboli,Japan,Takeshiba O,竹芝王,Takeshiba O,??????,80,82,5,js/data/historical-horses/Japan/takeshiba-o.js,自译待核对,现有英文显示名,
stay-gold,Japan,Tarnawa,塔纳瓦,Tarnawa,Tarnawa,84,86,2,js/data/historical-horses/Europe/tarnawa.js,自译待核对,现有英文显示名,
straight-girl,Japan,Tastiera,塔斯蒂埃拉,Tastiera,タスティエーラ,80,82,2,js/data/historical-horses/Japan/tastiera.js,自译待核对,现有英文显示名,
suave-richard,Japan,Ten Point,十点,Ten Point,??????,80,82,6,js/data/historical-horses/Japan/ten-point.js,自译待核对,现有英文显示名,
symboli-kris-s,Japan,提平,提平,Tepin,Tepin,81,83,3,js/data/historical-horses/America/tepin.js,现有中文,原名英文,
symboli-rudolf,Japan,The Fugue,赋格,The Fugue,The Fugue,88,90,4,js/data/historical-horses/Europe/the-fugue.js,自译待核对,现有英文显示名,
taiki-shuttle,Japan,Titleholder,领衔,Titleholder,タイトルホルダー,82,84,6,js/data/historical-horses/Japan/titleholder.js,自译待核对,现有英文显示名,
takeshiba-o,Japan,Tiznow,提兹现在,Tiznow,Tiznow,85,88,3,js/data/historical-horses/America/tiznow.js,自译待核对,现有英文显示名,
tastiera,Japan,Tokai Teio,东海帝王,Tokai Teio,トウカイテイオー,82,83,5,js/data/historical-horses/Japan/tokai-teio.js,自译待核对,现有英文显示名,
ten-point,Japan,Too Darn Hot,热到爆,Too Darn Hot,Too Darn Hot,85,87,2,js/data/historical-horses/Europe/too-darn-hot.js,自译待核对,现有英文显示名,
titleholder,Japan,Torquator Tasso,惊世诗才,Torquator Tasso,Torquator Tasso,87,89,3,js/data/historical-horses/Europe/torquator-tasso.js,自译待核对,现有英文显示名,
tm-opera-o,Japan,Tosho Boy,东商小子,Tosho Boy,????????,79,81,5,js/data/historical-horses/Japan/tosho-boy.js,自译待核对,现有英文显示名,
tokai-teio,Japan,Transcend,创升,Transcend,トランセンド,78,80,5,js/data/historical-horses/Japan/transcend.js,自译待核对,现有英文显示名,
tosho-boy,Japan,Trawlerman,拖网渔夫,Trawlerman,Trawlerman,81,83,3,js/data/historical-horses/Europe/trawlerman.js,自译待核对,现有英文显示名,
transcend,Japan,Treve,卓芙,Treve,Treve,89,91,6,js/data/historical-horses/Europe/treve.js,自译待核对,现有英文显示名,
ushba-tesoro,Japan,Trueshan,真善,Trueshan,Trueshan,85,87,6,js/data/historical-horses/Europe/trueshan.js,自译待核对,现有英文显示名,
vermilion,Japan,Ushba Tesoro,盈宝奇岳,Ushba Tesoro,ウシュバテソーロ,82,84,5,js/data/historical-horses/Japan/ushba-tesoro.js,自译待核对,现有英文显示名,
victoire-pisa,Japan,Vazirabad,瓦丝巴德,Vazirabad,Vazirabad,84,86,6,js/data/historical-horses/Europe/vazirabad.js,自译待核对,现有英文显示名,
vodka,Japan,Vengeance of Rain,爪皇凌雨,Vengeance of Rain,Vengeance of Rain,80,82,5,js/data/historical-horses/Others/vengeance-of-rain.js,自译待核对,现有英文显示名,
wagnerian,Japan,Vermilion,朱红,Vermilion,ヴァーミリアン,80,82,6,js/data/historical-horses/Japan/vermilion.js,自译待核对,现有英文显示名,
zenno-rob-roy,Japan,Victoire Pisa,比萨胜驹,Victoire Pisa,?????????,84,86,7,js/data/historical-horses/Japan/victoire-pisa.js,自译待核对,现有英文显示名,
able-friend,Others,Vodka,伏特加,Vodka,ウオッカ,81,83,8,js/data/historical-horses/Japan/vodka.js,自译待核对,现有英文显示名,
ambitious-dragon,Others,Wagnerian,华格纳,Wagnerian,ワグネリアン,79,81,3,js/data/historical-horses/Japan/wagnerian.js,自译待核对,现有英文显示名,
beauty-generation,Others,War Admiral,战争上将,War Admiral,War Admiral,90,92,3,js/data/historical-horses/America/war-admiral.js,自译待核对,现有英文显示名,
golden-sixty,Others,胜利色彩,胜利色彩,Winning Colors,Winning Colors,78,80,1,js/data/historical-horses/America/winning-colors.js,现有中文,原名英文,
good-ba-ba,Others,Winter,冬季,Winter,Winter,83,85,2,js/data/historical-horses/Europe/winter.js,自译待核对,现有英文显示名,
ka-ying-rising,Others,聪明丹,聪明丹,Wise Dan,Wise Dan,87,89,4,js/data/historical-horses/America/wise-dan.js,现有中文,原名英文,
romantic-warrior,Others,Yeats,叶芝,Yeats,Yeats,81,84,4,js/data/historical-horses/Europe/yeats.js,自译待核对,现有英文显示名,
sacred-kingdom,Others,Zarkava,扎卡瓦,Zarkava,Zarkava,89,91,4,js/data/historical-horses/Europe/zarkava.js,自译待核对,现有英文显示名,
silent-witness,Others,Zenno Rob Roy,荒漠英雄,Zenno Rob Roy,???????,84,86,5,js/data/historical-horses/Japan/zenno-rob-roy.js,自译待核对,现有英文显示名,
vengeance-of-rain,Others,Zenyatta,禅雅塔,Zenyatta,Zenyatta,87,89,4,js/data/historical-horses/America/zenyatta.js,自译待核对,现有英文显示名,
