race_id,原名,中文名,英文名,当前显示名,原名语言,等级,赛事类别,地区,场地,赛场,距离,月份,半月,年龄条件,性别限定,原名来源,中文来源,核对备注
saudi-arabia-royal-cup,サウジアラビアロイヤルカップ,沙特阿拉伯皇家杯,Saudi Arabia RC,Saudi Arabia RC,日语,G3,g3,日本,草地,东京,1600,10,1,2岁,,资料补充：日本赛事原名,自译待核对,
artemis-stakes,アルテミスステークス,阿尔忒弥斯锦标,Artemis S,Artemis S,日语,G3,g3,日本,草地,东京,1600,10,2,2岁,牝马,资料补充：日本赛事原名,自译待核对,
fantasy-stakes,ファンタジーステークス,梦幻锦标,Fantasy S,Fantasy S,日语,G3,g3,日本,草地,京都,1400,11,1,2岁,牝马,资料补充：日本赛事原名,自译待核对,
miyako-stakes,みやこステークス,都锦标,Miyako S,Miyako S,日语,G3,g3,日本,泥地,京都,1800,11,1,3岁以上,,资料补充：日本赛事原名,自译待核对,
musashino-stakes,武蔵野ステークス,武藏野锦标,Musashino Stakes,武藏野S,日语,G3,g3,日本,泥地,东京,1600,11,1,3岁以上,,资料补充：日本赛事原名,自动规范化待核对,
fukushima-kinen,福島記念,福岛记念,Fukushima Kinen,福岛记念,日语,G3,g3,日本,草地,福岛,2000,11,1,3岁以上,,资料补充：日本赛事原名,现有中文,
kyoto-nisai-stakes,京都2歳ステークス,京都2岁锦标,Kyoto Nisai Stakes,京都2岁S,日语,G3,g3,日本,草地,京都,2000,11,2,2岁,,资料补充：日本赛事原名,自动规范化待核对,
keihan-hai,京阪杯,京阪杯,Keihan Hai,京阪杯,日语,G3,g3,日本,草地,京都,1200,11,2,3岁以上,,资料补充：日本赛事原名,现有中文,
naruo-kinen,鳴尾記念,鸣尾记念,Naruo Kinen,鸣尾记念,日语,G3,g3,日本,草地,阪神,1800,12,1,3岁以上,,资料补充：日本赛事原名,现有中文,
chunichi-shimbun-hai,中日新聞杯,中日新闻杯,Chunichi Shimbun Hai,中日新闻杯,日语,G3,g3,日本,草地,中京,2000,12,1,3岁以上,,资料补充：日本赛事原名,现有中文,
capella-stakes,カペラステークス,五车二锦标,Capella S,Capella S,日语,G3,g3,日本,泥地,中山,1200,12,1,3岁以上,,资料补充：日本赛事原名,自译待核对,
turquoise-stakes,ターコイズステークス,绿松石锦标,Turquoise S,Turquoise S,日语,G3,g3,日本,草地,中山,1600,12,2,3岁以上,牝马,资料补充：日本赛事原名,自译待核对,
february-stakes,フェブラリーステークス,二月锦标,February Stakes,二月锦标,日语,G1,g1,日本,泥地,东京,1600,2,2,4岁以上,,资料补充：日本赛事原名,现有中文,
takamatsunomiya-kinen,高松宮記念,高松宫纪念,Takamatsunomiya Kinen,高松宫纪念,日语,G1,g1,日本,草地,中京,1200,3,2,4岁以上,,资料补充：日本赛事原名,现有中文,
osaka-hai,大阪杯,大阪杯,Osaka Hai,大阪杯,日语,G1,g1,日本,草地,阪神,2000,4,1,4岁以上,,资料补充：日本赛事原名,现有中文,
oka-sho,桜花賞,樱花赏,Oka Sho,樱花赏,日语,G1,g1,日本,草地,阪神,1600,4,1,3岁,牝马,资料补充：日本赛事原名,现有中文,
satsuki-sho,皐月賞,皋月赏,Satsuki Sho,皋月赏,日语,G1,g1,日本,草地,中山,2000,4,2,3岁,,资料补充：日本赛事原名,现有中文,
tenno-sho-haru,天皇賞（春）,天皇赏春,Tenno Sho (Spring),天皇赏春,日语,G1,g1,日本,草地,京都,3200,4,2,4岁以上,,资料补充：日本赛事原名,现有中文,
nhk-mile-cup,NHKマイルカップ,NHK一哩杯,NHK Mile Cup,NHK一哩杯,日语,G1,g1,日本,草地,东京,1600,5,1,3岁,,资料补充：日本赛事原名,自动生成待核对,
victoria-mile,ヴィクトリアマイル,维多利亚一哩赛,Victoria Mile,维多利亚一哩赛,日语,G1,g1,日本,草地,东京,1600,5,1,4岁以上,牝马,资料补充：日本赛事原名,现有中文,
yushun-himba,優駿牝馬,优骏牝马,Yushun Himba,优骏牝马,日语,G1,g1,日本,草地,东京,2400,5,2,3岁,牝马,资料补充：日本赛事原名,现有中文,
tokyo-yushun,東京優駿,日本德比,Tokyo Yushun,日本德比,日语,G1,g1,日本,草地,东京,2400,5,2,3岁,,资料补充：日本赛事原名,现有中文,
yasuda-kinen,安田記念,安田纪念,Yasuda Kinen,安田纪念,日语,G1,g1,日本,草地,东京,1600,6,1,3岁以上,,资料补充：日本赛事原名,现有中文,
takarazuka-kinen,宝塚記念,宝塚纪念,Takarazuka Kinen,宝塚纪念,日语,G1,g1,日本,草地,阪神,2200,6,2,3岁以上,,资料补充：日本赛事原名,现有中文,
sprinters-stakes,スプリンターズステークス,短途马锦标,Sprinters Stakes,短途马锦标,日语,G1,g1,日本,草地,中山,1200,9,2,3岁以上,,资料补充：日本赛事原名,现有中文,
shuka-sho,秋華賞,秋华赏,Shuka Sho,秋华赏,日语,G1,g1,日本,草地,京都,2000,10,2,3岁,牝马,资料补充：日本赛事原名,现有中文,
kikka-sho,菊花賞,菊花赏,Kikka Sho,菊花赏,日语,G1,g1,日本,草地,京都,3000,10,2,3岁,,资料补充：日本赛事原名,现有中文,
tenno-sho-aki,天皇賞（秋）,天皇赏秋,Tenno Sho (Autumn),天皇赏秋,日语,G1,g1,日本,草地,东京,2000,10,2,3岁以上,,资料补充：日本赛事原名,现有中文,
queen-elizabeth-ii-cup,エリザベス女王杯,女王伊丽莎白二世杯,Queen Elizabeth II Cup,女王伊丽莎白二世杯,日语,G1,g1,日本,草地,京都,2200,11,1,3岁以上,牝马,资料补充：日本赛事原名,现有中文,
mile-championship,マイルチャンピオンシップ,一哩冠军赛,Mile Championship,一哩冠军赛,日语,G1,g1,日本,草地,京都,1600,11,2,3岁以上,,资料补充：日本赛事原名,现有中文,
japan-cup,ジャパンカップ,日本杯,Japan Cup,日本杯,日语,G1,g1,日本,草地,东京,2400,11,2,3岁以上,,资料补充：日本赛事原名,现有中文,
champions-cup,チャンピオンズカップ,冠军杯,Champions Cup,冠军杯,日语,G1,g1,日本,泥地,中京,1800,12,1,3岁以上,,资料补充：日本赛事原名,现有中文,
hanshin-juvenile-fillies,阪神ジュベナイルフィリーズ,阪神两岁牝马锦标,Hanshin Juvenile Fillies,阪神两岁牝马S,日语,G1,g1,日本,草地,阪神,1600,12,1,2岁,牝马,资料补充：日本赛事原名,自动规范化待核对,
asahi-hai-fs,朝日杯フューチュリティステークス,朝日杯未来锦标,Asahi Hai Futurity Stakes,朝日杯FS,日语,G1,g1,日本,草地,阪神,1600,12,2,2岁,,资料补充：日本赛事原名,自动规范化待核对,
arima-kinen,有馬記念,有马纪念,Arima Kinen,有马纪念,日语,G1,g1,日本,草地,中山,2500,12,2,3岁以上,,资料补充：日本赛事原名,现有中文,
hopeful-stakes,ホープフルステークス,希望锦标,Hopeful Stakes,希望锦标,日语,G1,g1,日本,草地,中山,2000,12,2,2岁,,资料补充：日本赛事原名,现有中文,
tokyo-daishoten,東京大賞典,东京大赏典,Tokyo Daishoten,东京大赏典,日语,G1,g1,日本,泥地,其他地方,2000,12,2,3岁以上,,资料补充：日本赛事原名,现有中文,
kawasaki-kinen,川崎記念,川崎记念,Kawasaki Kinen,川崎记念,日语,JpnI,jpn1,日本,泥地,川崎,2100,4,1,4岁以上,,资料补充：日本赛事原名,现有中文,
haneda-hai,羽田盃,羽田杯,Haneda Hai,羽田杯,日语,JpnI,jpn1,日本,泥地,大井,1800,4,2,3岁,,资料补充：日本赛事原名,现有中文,
kashiwa-kinen,かしわ記念,柏记念,Kashiwa Kinen,柏记念,日语,JpnI,jpn1,日本,泥地,船桥,1600,5,1,4岁以上,,资料补充：日本赛事原名,现有中文,
tokyo-derby,東京ダービー,东京德比,Tokyo Derby,东京德比,日语,JpnI,jpn1,日本,泥地,大井,2000,6,1,3岁,,资料补充：日本赛事原名,现有中文,
sakitama-hai,さきたま杯,埼玉杯,Sakitama Hai,埼玉杯,日语,JpnI,jpn1,日本,泥地,浦和,1400,6,1,3岁以上,,资料补充：日本赛事原名,现有中文,
teio-sho,帝王賞,帝王赏,Teio Sho,帝王赏,日语,JpnI,jpn1,日本,泥地,大井,2000,6,2,4岁以上,,资料补充：日本赛事原名,现有中文,
japan-dirt-classic,ジャパンダートクラシック,日本泥地经典赛,Japan Dirt Classic,日本泥地经典赛,日语,JpnI,jpn1,日本,泥地,大井,2000,10,1,3岁,,资料补充：日本赛事原名,现有中文,
mile-championship-nambu-hai,マイルチャンピオンシップ南部杯,一哩冠军南部杯,Mile Championship Nambu Hai,一哩冠军南部杯,日语,JpnI,jpn1,日本,泥地,盛冈,1600,10,1,3岁以上,,资料补充：日本赛事原名,现有中文,
jbc-ladies-classic,JBCレディスクラシック,JBC雌马经典赛,JBC Ladies' Classic,JBC雌马经典赛,日语,JpnI,jpn1,日本,泥地,其他地方,1800,11,1,3岁以上,牝马,资料补充：日本赛事原名,自动生成待核对,
jbc-sprint,JBCスプリント,JBC短途赛,JBC Sprint,JBC短途赛,日语,JpnI,jpn1,日本,泥地,其他地方,1200,11,1,3岁以上,,资料补充：日本赛事原名,自动生成待核对,
jbc-classic,JBCクラシック,JBC经典赛,JBC Classic,JBC经典赛,日语,JpnI,jpn1,日本,泥地,其他地方,2000,11,1,3岁以上,,资料补充：日本赛事原名,自动生成待核对,
zen-nippon-nisai-yushun,全日本2歳優駿,全日本两岁优骏,Zen Nippon Nisai Yushun,全日本两岁优骏,日语,JpnI,jpn1,日本,泥地,川崎,1600,12,2,2岁,,资料补充：日本赛事原名,现有中文,
diolite-kinen,ダイオライト記念,迪奥莱特纪念,Diolite Kinen,ダイオライト记念,日语,JpnII,jpn2,日本,泥地,船桥,2400,3,1,4岁以上,,资料补充：日本赛事原名,自译待核对,
keihin-hai,京浜盃,京滨杯,Keihin Hai,京滨杯,日语,JpnII,jpn2,日本,泥地,大井,1700,3,2,3岁,,资料补充：日本赛事原名,现有中文,
hyogo-championship,兵庫チャンピオンシップ,兵库冠军锦标,Hyogo Championship,兵库冠军锦标,日语,JpnII,jpn2,日本,泥地,园田,1400,5,1,3岁,,资料补充：日本赛事原名,现有中文,
nagoya-grand-prix,名古屋グランプリ,名古屋大奖赛,Nagoya Grand Prix,名古屋大奖赛,日语,JpnII,jpn2,日本,泥地,名古屋,2100,5,1,4岁以上,,资料补充：日本赛事原名,现有中文,
empress-hai,エンプレス杯,雌马杯,Empress Hai,雌马杯,日语,JpnII,jpn2,日本,泥地,川崎,2100,5,2,4岁以上,牝马,资料补充：日本赛事原名,现有中文,
kanto-oaks,関東オークス,关东橡树大赛,Kanto Oaks,关东橡树大赛,日语,JpnII,jpn2,日本,泥地,川崎,2100,6,1,3岁,牝马,资料补充：日本赛事原名,现有中文,
furukata-award,不来方賞,不来方赏,Furukata Award,不来方赏,日语,JpnII,jpn2,日本,泥地,盛冈,2000,9,1,3岁,,资料补充：日本赛事原名,现有中文,
nippon-tv-hai,日本テレビ盃,日本电视杯,Nippon Tv Hai,日本电视杯,日语,JpnII,jpn2,日本,泥地,船桥,1800,10,1,3岁以上,,资料补充：日本赛事原名,现有中文,
ladies-prelude,レディスプレリュード,雌马预赛,Ladies Prelude,雌马预赛,日语,JpnII,jpn2,日本,泥地,大井,1800,10,1,3岁以上,牝马,资料补充：日本赛事原名,现有中文,
tokyo-hai,東京盃,东京杯,Tokyo Hai,东京杯,日语,JpnII,jpn2,日本,泥地,大井,1200,10,1,3岁以上,,资料补充：日本赛事原名,现有中文,
urawa-kinen,浦和記念,浦和记念,Urawa Kinen,浦和记念,日语,JpnII,jpn2,日本,泥地,浦和,2000,11,2,3岁以上,,资料补充：日本赛事原名,现有中文,
hyogo-junior-grand-prix,兵庫ジュニアグランプリ,兵库青年大奖赛,Hyogo Junior Grand Prix,兵库青年大奖赛,日语,JpnII,jpn2,日本,泥地,园田,1400,11,2,2岁,,资料补充：日本赛事原名,现有中文,
bluebird-cup,ブルーバードカップ,蓝鸟杯,Bluebird Cup,蓝鸟杯,日语,JpnIII,jpn3,日本,泥地,船桥,1800,1,2,3岁,,资料补充：日本赛事原名,现有中文,
queen-sho,クイーン賞,皇后赏,Queen Sho,皇后赏,日语,JpnIII,jpn3,日本,泥地,船桥,1800,2,1,4岁以上,牝马,资料补充：日本赛事原名,现有中文,
saga-kinen,佐賀記念,佐贺记念,Saga Kinen,佐贺记念,日语,JpnIII,jpn3,日本,泥地,佐贺,2000,2,1,4岁以上,,资料补充：日本赛事原名,现有中文,
kumotori-sho,雲取賞,云取赏,Kumotori Sho,云取赏,日语,JpnIII,jpn3,日本,泥地,大井,1800,2,2,3岁,,资料补充：日本赛事原名,现有中文,
iris-kinen,かきつばた記念,鸢尾花记念,Iris Kinen,鸢尾花记念,日语,JpnIII,jpn3,日本,泥地,名古屋,1500,2,2,4岁以上,,资料补充：日本赛事原名,现有中文,
kurofune-sho,黒船賞,黑船赏,Kurofune Sho,黑船赏,日语,JpnIII,jpn3,日本,泥地,高知,1400,3,2,4岁以上,,资料补充：日本赛事原名,现有中文,
hyogo-queen-cup,兵庫女王盃,兵库女王杯,Hyogo Queen Cup,兵库女王杯,日语,JpnIII,jpn3,日本,泥地,园田,1870,4,1,4岁以上,牝马,资料补充：日本赛事原名,现有中文,
tokyo-sprint,東京スプリント,东京短途赛,Tokyo Sprint,东京短途赛,日语,JpnIII,jpn3,日本,泥地,大井,1200,4,1,4岁以上,,资料补充：日本赛事原名,现有中文,
sparking-lady-cup,スパーキングレディーカップ,闪耀雌马杯,Sparking Lady Cup,闪耀雌马杯,日语,JpnIII,jpn3,日本,泥地,川崎,1600,7,1,3岁以上,牝马,资料补充：日本赛事原名,现有中文,
mercury-cup,マーキュリーカップ,水星杯,Mercury Cup,水星杯,日语,JpnIII,jpn3,日本,泥地,盛冈,2000,7,2,3岁以上,,资料补充：日本赛事原名,现有中文,
cluster-cup,クラスターカップ,星团杯,Cluster Cup,星团杯,日语,JpnIII,jpn3,日本,泥地,盛冈,1200,8,1,3岁以上,,资料补充：日本赛事原名,现有中文,
hokkaido-sprint-cup,北海道スプリントカップ,北海道短途杯,Hokkaido Sprint Cup,北海道短途杯,日语,JpnIII,jpn3,日本,泥地,门别,1200,8,2,3岁,,资料补充：日本赛事原名,现有中文,
breeders-gold-cup,ブリーダーズゴールドカップ,育马者金杯,Breeders Gold Cup,育马者金杯,日语,JpnIII,jpn3,日本,泥地,门别,2000,8,2,3岁以上,牝马,资料补充：日本赛事原名,现有中文,
summer-champion,サマーチャンピオン,夏季冠军赛,Summer Champion,夏季冠军赛,日语,JpnIII,jpn3,日本,泥地,佐贺,1400,8,2,3岁以上,,资料补充：日本赛事原名,现有中文,
oval-sprint,オーバルスプリント,椭圆短途赛,Oval Sprint,椭圆短途赛,日语,JpnIII,jpn3,日本,泥地,浦和,1400,9,2,3岁以上,,资料补充：日本赛事原名,现有中文,
hakusan-daishoten,白山大賞典,白山大赏典,Hakusan Daishoten,白山大赏典,日语,JpnIII,jpn3,日本,泥地,金泽,2100,9,2,3岁以上,,资料补充：日本赛事原名,现有中文,
marine-cup,マリーンカップ,海洋杯,Marine Cup,海洋杯,日语,JpnIII,jpn3,日本,泥地,船桥,1800,9,2,3岁,牝马,资料补充：日本赛事原名,现有中文,
edelweiss-sho,エーデルワイス賞,雪绒花赏,Edelweiss Sho,雪绒花赏,日语,JpnIII,jpn3,日本,泥地,门别,1200,10,2,2岁,牝马,资料补充：日本赛事原名,现有中文,
jbc-nisai-yushun,JBC2歳優駿,JBC两岁优骏,JBC Nisai Yushun,JBC两岁优骏,日语,JpnIII,jpn3,日本,泥地,门别,1800,11,1,2岁,,资料补充：日本赛事原名,自动生成待核对,
nagoya-daishoten,名古屋大賞典,名古屋大赏典,Nagoya Daishoten,名古屋大赏典,日语,JpnIII,jpn3,日本,泥地,名古屋,2000,12,2,3岁以上,,资料补充：日本赛事原名,现有中文,
hyogo-gold-trophy,兵庫ゴールドトロフィー,兵库金杯,Hyogo Gold Trophy,兵库金杯,日语,JpnIII,jpn3,日本,泥地,园田,1400,12,2,3岁以上,,资料补充：日本赛事原名,现有中文,
kentucky-derby,Kentucky Derby,肯塔基德比,Kentucky Derby,肯塔基德比,英语,G1,g1,美国,泥地,其他地方,2000,5,1,3岁,,地区规则：英语赛事用英文原名,现有中文,
preakness-stakes,Preakness Stakes,必利时锦标,Preakness Stakes,必利是锦标,英语,G1,g1,美国,泥地,其他地方,1900,5,2,3岁,,地区规则：英语赛事用英文原名,现有中文,
belmont-stakes,Belmont Stakes,贝蒙锦标,Belmont Stakes,贝蒙锦标,英语,G1,g1,美国,泥地,其他地方,2400,6,1,3岁,,地区规则：英语赛事用英文原名,现有中文,
pegasus-world-cup,Pegasus World Cup,飞马世界杯,Pegasus World Cup,飞马世界杯,英语,G1,g1,美国,泥地,其他地方,1800,1,2,4岁以上,,地区规则：英语赛事用英文原名,现有中文,
santa-anita-handicap,Santa Anita Handicap,圣雅尼塔让赛,Santa Anita Handicap,圣雅尼塔让赛,英语,G1,g1,美国,泥地,其他地方,2000,3,1,4岁以上,,地区规则：英语赛事用英文原名,现有中文,
apple-blossom-handicap,Apple Blossom Handicap,苹果花让赛,Apple Blossom Handicap,苹果花让赛,英语,G1,g1,美国,泥地,其他地方,1700,4,1,4岁以上,牝马,地区规则：英语赛事用英文原名,现有中文,
blue-grass-stakes,Blue Grass Stakes,蓝草锦标,Blue Grass Stakes,蓝草锦标,英语,G1,g1,美国,泥地,其他地方,1800,4,1,3岁,,地区规则：英语赛事用英文原名,现有中文,
kentucky-oaks,Kentucky Oaks,肯塔基橡树,Kentucky Oaks,肯塔基橡树,英语,G1,g1,美国,泥地,其他地方,1800,5,1,3岁,牝马,地区规则：英语赛事用英文原名,现有中文,
acorn-stakes,Acorn Stakes,橡果锦标,Acorn Stakes,橡果锦标,英语,G1,g1,美国,泥地,其他地方,1800,6,1,3岁,牝马,地区规则：英语赛事用英文原名,现有中文,
coaching-club-american-oaks,Coaching Club American Oaks,美国教练俱乐部橡树赛,Coaching Club American Oaks,Coaching Club美国橡树大赛,英语,G1,g1,美国,泥地,其他地方,1800,7,2,3岁,牝马,地区规则：英语赛事用英文原名,自译待核对,
metropolitan-handicap,Metropolitan Handicap,大都会让赛,Metropolitan Handicap,大都会让赛,英语,G1,g1,美国,泥地,其他地方,1600,6,1,3岁以上,,地区规则：英语赛事用英文原名,现有中文,
haskell-stakes,Haskell Stakes,哈斯凯尔锦标,Haskell Stakes,哈斯凯尔锦标,英语,G1,g1,美国,泥地,其他地方,1800,7,2,3岁,,地区规则：英语赛事用英文原名,现有中文,
travers-stakes,Travers Stakes,卓华斯锦标,Travers Stakes,卓华斯锦标,英语,G1,g1,美国,泥地,其他地方,2000,8,2,3岁,,地区规则：英语赛事用英文原名,现有中文,
pegasus-world-cup-turf,Pegasus World Cup Turf,飞马世界杯草地赛,Pegasus World Cup Turf,飞马世界杯草地赛,英语,G1,g1,美国,草地,其他地方,1800,1,2,4岁以上,,地区规则：英语赛事用英文原名,现有中文,
american-turf-stakes,American Turf Stakes,美国草地锦标,American Turf Stakes,美国草地锦标,英语,G1,g1,美国,草地,其他地方,1700,5,1,3岁,,地区规则：英语赛事用英文原名,现有中文,
turf-classic-stakes,Turf Classic Stakes,草地经典赛,Turf Classic Stakes,草地经典赛,英语,G1,g1,美国,草地,其他地方,1800,5,1,4岁以上,,地区规则：英语赛事用英文原名,现有中文,
manhattan-stakes,Manhattan Stakes,曼哈顿锦标,Manhattan Stakes,曼哈顿锦标,英语,G1,g1,美国,草地,其他地方,1900,6,1,4岁以上,,地区规则：英语赛事用英文原名,现有中文,
just-a-game-stakes,Just a Game Stakes,Just a Game锦标,Just a Game Stakes,Just a Game锦标,英语,G1,g1,美国,草地,其他地方,1600,6,1,4岁以上,牝马,地区规则：英语赛事用英文原名,自译待核对,
diana-stakes,Diana Stakes,戴安娜锦标,Diana Stakes,戴安娜锦标,英语,G1,g1,美国,草地,其他地方,1800,7,2,4岁以上,牝马,地区规则：英语赛事用英文原名,现有中文,
arlington-million,Arlington Million,阿灵顿百万大赛,Arlington Million,阿灵顿百万大赛,英语,G1,g1,美国,草地,其他地方,2000,8,1,3岁以上,,地区规则：英语赛事用英文原名,现有中文,
keeneland-turf-mile,Keeneland Turf Mile,基兰草地一哩,Keeneland Turf Mile,基兰草地一哩,英语,G1,g1,美国,草地,其他地方,1600,10,1,3岁以上,,地区规则：英语赛事用英文原名,现有中文,
jaipur-stakes,Jaipur Stakes,斋浦尔锦标,Jaipur Stakes,斋浦尔锦标,英语,G1,g1,美国,草地,其他地方,1200,6,1,3岁以上,,地区规则：英语赛事用英文原名,现有中文,
forego-stakes,Forego Stakes,领先锦标,Forego Stakes,福尔戈锦标,英语,G1,g1,美国,泥地,其他地方,1400,8,2,4岁以上,,地区规则：英语赛事用英文原名,现有中文,
h-allen-jerkens-memorial-stakes,H. Allen Jerkens Memorial Stakes,H. 艾伦·杰肯斯纪念锦标,H. Allen Jerkens Memorial Stakes,H. Allen Jerkens纪念锦标,英语,G1,g1,美国,泥地,其他地方,1400,8,2,3岁,,地区规则：英语赛事用英文原名,自译待核对,
prix-dispahan,Prix d'Ispahan,伊斯巴翰锦标,Prix Dispahan,伊斯巴翰锦标,法语,G1,g1,欧洲,草地,其他地方,1850,5,2,4岁以上,,资料补充：欧洲法/德语原名,现有中文,
prix-ganay,Prix Ganay,根利锦标,Prix Ganay,根利锦标,法语,G1,g1,欧洲,草地,其他地方,2100,4,2,4岁以上,,资料补充：欧洲法/德语原名,现有中文,
poule-dessai-des-poulains,Poule d'Essai des Poulains,法国二千坚尼,Poule d'Essai des Poulains,法国二千坚尼,法语,G1,g1,欧洲,草地,其他地方,1600,5,1,3岁,,资料补充：欧洲法/德语原名,现有中文,
poule-dessai-des-pouliches,Poule d'Essai des Pouliches,法国一千坚尼,Poule d'Essai des Pouliches,法国一千坚尼,法语,G1,g1,欧洲,草地,其他地方,1600,5,1,3岁,牝马,资料补充：欧洲法/德语原名,现有中文,
prix-vicomtesse-vigier,Prix Vicomtesse Vigier,维吉尔子爵夫人锦标,Prix Vicomtesse Vigier,维吉尔子爵夫人锦标,法语,G1,g1,欧洲,草地,其他地方,3100,5,2,4岁以上,,资料补充：欧洲法/德语原名,现有中文,
grand-prix-de-paris,Grand Prix de Paris,巴黎大赛,Grand Prix de Paris,巴黎大赛,法语,G1,g1,欧洲,草地,其他地方,2400,7,1,3岁,,资料补充：欧洲法/德语原名,现有中文,
prix-de-royallieu,Prix de Royallieu,鲁瓦耶锦标,Prix de Royallieu,鲁瓦耶锦标,法语,G1,g1,欧洲,草地,其他地方,2800,10,1,3岁以上,牝马,资料补充：欧洲法/德语原名,现有中文,
prix-du-cadran,Prix du Cadran,卡德兰大奖赛,Prix du Cadran,卡德兰大奖赛,法语,G1,g1,欧洲,草地,其他地方,4000,10,1,4岁以上,,资料补充：欧洲法/德语原名,现有中文,
prix-de-lopera,Prix de l'Opéra,歌剧大奖赛,Prix de l'Opera,歌剧大奖赛,法语,G1,g1,欧洲,草地,其他地方,2000,10,1,3岁以上,牝马,资料补充：欧洲法/德语原名,现有中文,
prix-royal-oak,Prix Royal-Oak,皇家橡树大赛,Prix Royal Oak,皇家橡树大赛,法语,G1,g1,欧洲,草地,其他地方,3100,10,2,3岁以上,,资料补充：欧洲法/德语原名,现有中文,
goodwood-cup,Goodwood Cup,古活杯,Goodwood Cup,古活杯,英语,G1,g1,欧洲,草地,其他地方,3219,7,2,3岁以上,,地区规则：英语赛事用英文原名,现有中文,
british-champions-long-distance-cup,British Champions Long Distance Cup,英国冠军长途杯,British Champions Long Distance Cup,英国冠军长途杯,英语,G1,g1,欧洲,草地,其他地方,3209,10,2,3岁以上,,地区规则：英语赛事用英文原名,现有中文,
falmouth-stakes,Falmouth Stakes,法尔茅斯锦标,Falmouth Stakes,法尔茅斯锦标,英语,G1,g1,欧洲,草地,其他地方,1600,7,1,3岁以上,牝马,地区规则：英语赛事用英文原名,现有中文,
nassau-stakes,Nassau Stakes,拿骚锦标,Nassau Stakes,拿骚锦标,英语,G1,g1,欧洲,草地,其他地方,1991,7,2,3岁以上,牝马,地区规则：英语赛事用英文原名,现有中文,
british-champions-fillies-mares-stakes,British Champions Fillies Mares Stakes,英国冠军雌马锦标,British Champions Fillies Mares Stakes,英国冠军雌马锦标,英语,G1,g1,欧洲,草地,其他地方,2400,10,2,3岁以上,牝马,地区规则：英语赛事用英文原名,现有中文,
champion-stakes,Champion Stakes,冠军锦标,Champion Stakes,冠军锦标,英语,G1,g1,欧洲,草地,其他地方,2004,10,2,3岁以上,,地区规则：英语赛事用英文原名,现有中文,
irish-two-thousand-guineas,Irish Two Thousand Guineas,爱尔兰二千坚尼,Irish Two Thousand Guineas,爱尔兰二千坚尼,英语,G1,g1,欧洲,草地,其他地方,1600,5,2,3岁,,地区规则：英语赛事用英文原名,现有中文,
irish-st-leger,Irish St Leger,爱尔兰圣烈治锦标,Irish St Leger,爱尔兰圣烈治锦标,英语,G1,g1,欧洲,草地,其他地方,2800,9,1,3岁以上,,地区规则：英语赛事用英文原名,现有中文,
deutsches-derby,Deutsches Derby,德国德比,Deutsches Derby,德国德比,德语,G1,g1,欧洲,草地,其他地方,2400,7,1,3岁,,资料补充：欧洲法/德语原名,现有中文,
grosser-preis-von-baden,Gro?er Preis von Baden,巴登大赛,Grosser Preis Von Baden,巴登大赛,德语,G1,g1,欧洲,草地,其他地方,2400,9,1,3岁以上,,资料补充：欧洲法/德语原名,现有中文,
prix-rothschild,Prix Rothschild,罗斯柴尔德大奖赛,Prix Rothschild,罗斯柴尔德大奖赛,法语,G1,g1,欧洲,草地,其他地方,1600,8,1,3岁以上,牝马,资料补充：欧洲法/德语原名,现有中文,
prix-du-moulin,Prix du Moulin,穆兰大赛,Prix du Moulin,穆兰大赛,法语,G1,g1,欧洲,草地,其他地方,1600,9,1,3岁以上,,资料补充：欧洲法/德语原名,现有中文,
prix-de-la-foret,Prix de la Forêt,森林大赛,Prix de La Foret,森林大赛,法语,G1,g1,欧洲,草地,其他地方,1400,10,1,3岁以上,,资料补充：欧洲法/德语原名,现有中文,
prix-marcel-boussac,Prix Marcel Boussac,马塞尔布萨克大赛,Prix Marcel Boussac,马塞尔布萨克大赛,法语,G1,g1,欧洲,草地,其他地方,1600,10,1,2岁,牝马,资料补充：欧洲法/德语原名,现有中文,
prix-morny,Prix Morny,莫尼大赛,Prix Morny,莫尼大赛,法语,G1,g1,欧洲,草地,其他地方,1200,8,2,2岁,,资料补充：欧洲法/德语原名,现有中文,
prix-maurice-de-gheest,Prix Maurice de Gheest,莫里斯德盖斯特大赛,Prix Maurice de Gheest,莫里斯德盖斯特大赛,法语,G1,g1,欧洲,草地,其他地方,1300,8,1,3岁以上,,资料补充：欧洲法/德语原名,现有中文,
prix-jean-luc-lagardere,Prix Jean-Luc Lagardère,让-吕克拉加代尔大奖赛,Prix Jean Luc Lagardere,让-吕克拉加代尔大奖赛,法语,G1,g1,欧洲,草地,其他地方,1400,10,1,2岁,,资料补充：欧洲法/德语原名,现有中文,
queen-elizabeth-ii-stakes,Queen Elizabeth II Stakes,伊丽莎白女王二世锦标,Queen Elizabeth II Stakes,伊丽莎白女王二世锦标,英语,G1,g1,欧洲,草地,其他地方,1600,10,2,3岁以上,,地区规则：英语赛事用英文原名,现有中文,
dewhurst-stakes,Dewhurst Stakes,杜赫斯特锦标,Dewhurst Stakes,杜赫斯特锦标,英语,G1,g1,欧洲,草地,其他地方,1400,10,1,2岁,,地区规则：英语赛事用英文原名,现有中文,
yorkshire-oaks,Yorkshire Oaks,约克郡橡树大赛,Yorkshire Oaks,约克郡橡树大赛,英语,G1,g1,欧洲,草地,其他地方,2400,8,2,3岁以上,牝马,地区规则：英语赛事用英文原名,现有中文,
